date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
01/01/79;177.63;355.02;17.36;402.73;236.45;45.25;70.37;549.94;426.74;161.16;305.97;105.79;241.09;58.59;164.76;318.01;299.14;337.28;530.57;376.34;341.34;307.97;383.41;146.3
01/02/79;108.36;377.7;158.48;297.08;314.96;150.05;147.0;290.08;374.69;121.06;291.48;142.77;149.45;165.2;170.06;182.15;379.1;211.96;330.29;300.26;415.4;356.39;369.16;103.7
01/03/79;103.85;276.94;88.97;168.32;133.24;72.89;47.12;198.09;266.96;108.62;178.56;84.97;80.99;56.11;98.38;267.04;323.94;135.16;214.71;115.98;326.26;165.4;232.12;109.82
01/04/79;63.9;173.49;155.7;61.62;66.55;149.79;140.7;54.3;82.09;73.16;62.1;74.91;79.2;131.4;79.66;97.13;179.49;52.5;54.58;86.6;145.4;69.52;117.98;113.08
01/05/79;100.13;74.66;177.01;44.93;82.32;173.05;285.51;53.32;16.77;112.03;54.87;170.33;95.06;235.91;86.37;74.52;106.02;72.23;40.02;15.61;61.85;64.68;40.4;57.96
01/06/79;0.9;11.26;42.6;0.1;10.22;45.35;7.5;0.0;0.3;10.93;0.0;12.43;0.63;38.7;35.72;8.31;19.31;0.0;0.14;0.5;7.5;5.24;1.74;30.79
01/07/79;132.99;32.99;106.64;191.5;138.17;108.2;96.72;20.46;6.01;93.94;272.8;81.47;75.22;108.81;51.53;20.17;23.85;120.59;15.98;31.71;20.18;202.1;10.38;25.2
01/08/79;75.02;79.71;152.52;21.05;65.02;98.06;87.42;27.59;23.28;110.16;24.49;74.04;40.35;102.3;141.95;36.59;80.94;43.71;26.29;8.78;67.02;37.55;43.23;10.66
01/09/79;140.7;117.7;205.8;81.66;100.64;135.46;236.1;70.2;79.03;137.17;102.9;170.06;143.5;169.5;119.49;62.32;95.26;100.8;71.32;21.46;86.77;84.38;81.74;10.48
01/10/79;109.74;151.56;209.87;98.93;70.6;157.36;208.63;90.52;93.15;108.18;97.65;177.82;122.76;225.68;64.73;82.01;157.35;97.03;90.52;85.62;121.48;75.19;101.19;6.11
01/11/79;153.3;189.16;150.3;208.04;199.24;130.89;216.6;192.9;211.24;164.68;204.9;169.17;170.31;139.5;173.12;163.59;181.98;172.2;203.95;204.88;172.26;210.32;178.19;38.59
01/12/79;261.64;200.64;196.54;317.71;255.22;143.35;368.59;266.91;234.57;205.48;325.19;172.53;304.72;172.05;146.44;209.47;215.81;331.7;269.51;217.38;233.94;298.18;235.31;47.81
01/01/80;252.96;385.23;110.05;440.63;317.22;147.32;176.7;460.66;349.3;211.77;465.93;223.35;247.84;178.25;167.56;291.32;342.19;378.82;415.71;297.73;404.17;388.97;369.62;147.65
01/02/80;344.81;496.15;112.81;277.81;172.52;158.32;190.24;470.38;522.16;300.54;221.27;319.2;343.24;191.98;187.05;282.88;474.65;368.59;487.82;309.44;575.15;168.0;496.44;222.05
01/03/80;49.91;215.53;147.25;80.94;108.55;108.47;122.45;84.94;129.55;89.0;75.33;179.67;97.77;134.54;100.84;160.17;234.48;70.06;97.8;48.01;221.13;99.38;154.13;61.09
01/04/80;124.8;145.03;137.4;153.81;147.16;101.29;49.2;86.1;80.76;125.6;176.1;125.41;73.8;87.6;117.34;113.77;160.44;111.9;87.92;68.76;131.12;163.35;101.55;13.68
01/05/80;32.55;42.79;171.12;15.34;22.06;112.54;182.28;14.26;4.26;28.54;14.26;77.6;84.59;149.73;14.77;95.18;71.36;26.97;10.5;5.31;45.43;13.26;13.32;7.3
01/06/80;73.2;25.77;139.5;29.63;46.67;83.53;63.3;25.5;6.28;80.82;36.3;92.15;52.25;93.9;72.18;27.45;25.87;40.2;18.79;7.69;12.72;37.14;8.56;28.7
01/07/80;4.96;5.09;110.36;0.0;6.57;163.67;50.84;0.0;0.0;32.82;0.0;94.19;14.68;140.43;28.32;27.94;10.05;0.0;0.0;0.08;1.88;2.31;0.25;18.57
