date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1981-01-01;274.7;344.47;207.52;296.13;314.74;162.57;184.49;240.37;298.97;254.58;291.38;204.91;210.57;172.05;263.92;305.74;374.95;216.75;280.46;174.96;371.15;264.14;313.26;60.49
1981-02-01;105.68;238.82;169.79;59.02;102.97;184.36;145.27;72.37;85.08;108.71;73.64;114.17;147.0;158.07;147.7;281.99;282.6;95.29;74.57;27.79;296.68;63.84;158.42;13.26
1981-03-01;117.16;303.92;81.47;191.9;175.65;82.94;71.82;220.88;327.93;91.56;161.28;59.72;88.8;92.47;177.19;246.37;381.89;214.73;315.14;290.82;418.18;174.83;326.28;270.76
1981-04-01;47.75;120.95;92.66;45.56;48.39;131.01;127.97;52.98;72.03;59.98;45.56;115.53;72.27;153.59;79.61;142.63;184.86;52.77;59.11;46.71;164.76;29.31;82.36;49.72
1981-05-01;12.95;37.39;44.24;19.29;22.02;44.8;25.69;15.21;13.02;22.93;16.36;23.03;11.41;37.97;26.93;72.84;43.55;11.68;23.89;9.91;33.35;20.08;16.37;12.89
1981-06-01;55.0;27.27;144.68;28.98;45.94;97.9;132.22;22.84;8.49;71.19;35.05;83.58;71.33;108.2;43.04;33.81;31.6;23.76;13.49;8.38;11.8;35.34;15.41;13.81
1981-07-01;6.61;12.24;38.99;7.37;7.66;40.18;20.73;7.66;3.52;16.13;6.87;26.16;8.48;29.78;27.05;14.24;6.57;7.46;6.37;3.11;3.54;6.28;6.4;11.59
1981-08-01;7.26;27.43;63.64;6.78;18.69;102.41;40.49;4.61;4.67;10.27;8.83;20.13;10.48;88.57;26.5;39.78;30.05;4.97;4.78;3.67;7.37;15.86;10.44;7.27
1981-09-01;19.49;45.08;209.04;12.68;34.36;140.55;52.58;15.63;10.72;18.46;21.11;37.75;30.67;88.87;31.04;85.55;66.22;20.38;14.46;6.63;53.49;16.36;20.64;5.27
1981-10-01;249.4;167.86;65.24;224.44;213.93;97.71;208.64;243.45;206.78;196.69;232.13;204.75;185.43;161.29;171.24;139.9;206.72;221.52;242.94;142.89;211.59;226.24;162.76;5.42
1981-11-01;187.15;279.68;151.35;313.43;234.36;128.82;130.84;286.99;287.94;163.77;252.65;136.04;172.73;163.61;191.33;194.42;312.94;258.91;282.88;221.52;387.86;321.4;262.2;17.27
