date;dona_francisca;emborcacao;ita;nova_avanhandava;nova_ponte;santa_cecilia;serra_da_mesa;teles_pires;tres_marias
1979-01-01;17.36;402.73;45.25;161.16;305.97;164.76;530.57;341.34;307.97
1979-02-01;158.48;297.08;150.05;121.06;291.48;170.06;330.29;415.4;356.39
1979-03-01;88.97;168.32;72.89;108.62;178.56;98.38;214.71;326.26;165.4
1979-04-01;155.7;61.62;149.79;73.16;62.1;79.66;54.58;145.4;69.52
1979-05-01;177.01;44.93;173.05;112.03;54.87;86.37;40.02;61.85;64.68
1979-06-01;42.6;0.1;45.35;10.93;0.0;35.72;0.14;7.5;5.24
1979-07-01;106.64;191.5;108.2;93.94;272.8;51.53;15.98;20.18;202.1
1979-08-01;152.52;21.05;98.06;110.16;24.49;141.95;26.29;67.02;37.55
1979-09-01;205.8;81.66;135.46;137.17;102.9;119.49;71.32;86.77;84.38
1979-10-01;209.87;98.93;157.36;108.18;97.65;64.73;90.52;121.48;75.19
1979-11-01;150.3;208.04;130.89;164.68;204.9;173.12;203.95;172.26;210.32
1979-12-01;196.54;317.71;143.35;205.48;325.19;146.44;269.51;233.94;298.18
1980-01-01;110.05;440.63;147.32;211.77;465.93;167.56;415.71;404.17;388.97
1980-02-01;112.81;277.81;158.32;300.54;221.27;187.05;487.82;575.15;168.0
1980-03-01;147.25;80.94;108.47;89.0;75.33;100.84;97.8;221.13;99.38
1980-04-01;137.4;153.81;101.29;125.6;176.1;117.34;87.92;131.12;163.35
1980-05-01;171.12;15.34;112.54;28.54;14.26;14.77;10.5;45.43;13.26
1980-06-01;139.5;29.63;83.53;80.82;36.3;72.18;18.79;12.72;37.14
1980-07-01;110.36;0.0;163.67;32.82;0.0;28.32;0.0;1.88;2.31
1980-08-01;83.39;138.82;83.69;94.82;197.78;95.59;3.14;21.96;109.22
1980-09-01;123.9;40.14;109.1;81.43;42.9;68.75;56.75;85.3;37.86
1980-10-01;260.4;30.01;136.08;78.97;32.86;89.46;38.88;153.11;47.99
1980-11-01;133.8;229.6;85.58;145.72;239.7;147.32;221.95;314.77;208.87
1980-12-01;146.01;304.81;217.77;285.51;308.45;253.09;268.52;328.67;325.41
1981-01-01;135.78;279.67;139.87;217.95;303.49;205.12;225.81;289.28;283.54
1981-02-01;136.36;68.21;163.17;103.43;80.92;111.5;60.86;229.9;71.23
1981-03-01;45.26;243.19;63.38;146.83;229.71;239.46;317.27;352.31;219.29
1981-04-01;115.5;45.41;130.92;80.66;39.6;78.65;83.24;85.25;51.32
1981-05-01;97.34;24.42;54.53;22.5;12.71;29.46;52.33;24.95;13.59
1981-06-01;160.5;36.36;140.77;83.62;39.6;62.09;25.04;15.86;42.49
1981-07-01;52.39;1.52;66.5;37.96;0.93;63.11;2.92;1.14;3.65
1981-08-01;50.84;4.02;76.8;29.49;3.72;40.23;0.95;9.09;14.46
1981-09-01;157.2;5.89;157.37;21.73;7.8;23.28;8.56;18.5;16.67
1981-10-01;62.31;235.51;89.22;222.9;231.57;163.8;206.64;161.95;206.47
1981-11-01;152.4;271.1;138.89;189.9;257.1;220.18;346.86;302.23;308.29
1981-12-01;163.68;230.94;144.6;247.36;259.78;177.75;232.34;244.54;250.65
1982-01-01;36.27;400.94;25.41;226.19;417.57;222.64;369.39;443.28;381.45
