date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1979-01-01;229.53;382.81;33.35;417.01;218.52;32.38;104.85;402.86;424.82;134.69;353.45;95.79;242.07;70.03;184.19;286.55;282.7;343.04;533.67;387.93;299.48;405.93;446.42;124.41
1979-02-01;189.28;353.67;180.3;274.2;269.51;118.03;148.94;269.82;333.53;128.44;310.65;120.77;141.0;150.07;161.25;183.56;390.08;243.64;335.12;316.58;443.03;375.03;325.67;99.39
1979-03-01;118.07;214.84;76.51;134.75;138.14;100.72;75.71;162.06;185.34;104.34;149.35;69.26;113.13;79.69;172.59;235.91;300.93;168.87;193.69;108.98;204.35;138.17;215.59;76.03
1979-04-01;78.15;147.57;164.54;66.99;66.15;126.5;128.49;69.65;94.82;73.41;101.0;62.58;72.69;137.93;82.84;83.8;170.22;54.71;77.04;74.14;118.12;86.67;140.38;67.96
1979-05-01;85.58;72.86;160.51;46.19;70.15;207.18;202.62;44.47;18.04;104.25;77.28;180.74;84.53;306.04;73.48;77.89;69.25;46.3;34.33;20.0;66.01;65.1;38.61;33.84
1979-06-01;1.91;2.7;57.83;0.2;1.1;44.72;6.5;0.02;0.06;3.09;0.27;6.05;0.45;28.31;23.29;7.9;1.71;0.01;0.0;1.27;0.19;0.06;3.42;19.57
1979-07-01;39.35;7.67;134.8;13.89;48.44;134.07;96.76;13.37;0.0;43.6;26.31;65.05;75.88;86.87;47.01;20.65;8.53;22.61;2.43;1.69;6.56;25.68;5.06;12.68
1979-08-01;41.48;59.7;144.06;23.23;54.84;104.06;106.16;21.68;35.3;69.01;25.71;80.34;27.01;136.74;89.4;38.61;44.71;22.23;35.14;5.2;45.19;30.83;51.4;2.31
1979-09-01;122.23;107.9;189.15;85.86;124.21;93.99;215.55;73.16;46.81;132.22;105.39;173.21;161.61;164.49;109.31;62.69;101.44;102.93;43.71;18.42;116.17;76.19;94.64;6.29
1979-10-01;108.3;124.92;349.37;71.18;90.75;352.14;189.76;89.69;133.44;115.48;97.34;149.35;117.34;311.82;109.16;77.16;146.18;91.71;88.41;79.03;135.46;77.36;114.97;2.41
1979-11-01;174.69;239.07;161.26;234.26;209.41;159.47;162.72;196.47;228.56;143.02;253.45;131.93;186.05;163.01;215.05;167.9;275.42;207.28;221.46;199.22;254.18;196.95;199.77;37.58
1979-12-01;345.04;242.63;225.54;322.66;298.53;198.38;265.23;274.79;207.93;248.82;281.15;168.99;339.01;212.33;214.68;193.58;265.04;285.1;235.79;188.49;253.66;305.19;259.08;55.51
1980-01-01;283.77;370.52;83.52;389.17;337.76;119.7;146.32;328.43;351.58;203.49;424.33;208.97;187.67;194.14;230.05;290.42;420.64;279.44;477.85;335.99;439.28;401.52;323.95;145.28
1980-02-01;237.65;446.67;95.84;302.42;156.96;119.73;180.01;379.34;512.6;238.9;220.4;237.08;273.27;164.08;209.5;274.67;413.22;323.81;586.6;304.36;490.7;150.22;529.64;225.57
1980-03-01;103.7;276.82;205.22;59.21;86.15;149.5;116.48;59.37;108.05;90.69;93.29;118.29;114.72;133.26;134.53;219.39;263.51;70.84;79.59;27.23;219.39;54.47;171.28;47.18
1980-04-01;151.82;150.23;94.21;190.03;163.92;69.59;64.09;142.69;123.94;124.11;182.53;97.61;95.32;74.86;136.91;140.42;163.89;96.9;156.5;74.7;164.04;154.92;145.24;16.85
1980-05-01;24.97;61.63;172.56;21.36;19.64;119.8;181.38;24.63;10.21;26.51;30.21;65.23;71.86;139.07;18.18;86.78;66.52;25.77;15.43;6.83;36.09;21.11;28.22;2.85
1980-06-01;87.93;22.12;63.86;32.37;80.1;67.36;61.23;15.04;2.4;90.64;71.05;76.03;43.95;90.09;64.99;40.45;26.58;20.39;8.83;8.23;12.54;63.31;10.59;17.22
1980-07-01;3.22;5.77;163.78;0.03;1.52;165.63;63.75;0.3;0.25;10.07;3.15;67.9;6.14;179.28;15.38;34.36;7.21;0.06;0.12;0.74;0.22;1.92;3.28;9.52
1980-08-01;17.2;29.42;139.14;8.32;24.47;177.39;89.28;5.2;0.03;24.91;19.0;65.44;14.96;182.2;52.91;62.05;41.12;4.72;0.76;0.87;24.06;6.73;8.61;1.56
1980-09-01;85.92;82.19;142.26;49.77;49.36;147.23;184.89;54.88;42.18;69.91;61.56;145.78;127.33;213.64;60.12;66.95;110.35;48.95;69.57;22.3;100.09;44.98;65.64;4.98
1980-10-01;98.67;122.77;219.23;66.88;78.61;179.69;156.02;57.19;48.65;76.01;51.09;91.32;99.46;175.51;114.91;126.56;158.92;84.01;37.06;25.41;111.94;39.52;80.67;10.79
1980-11-01;228.99;259.84;195.23;297.49;228.86;124.28;137.06;241.46;320.41;156.89;252.28;97.46;155.77;125.43;174.14;153.45;259.69;194.05;300.53;191.68;322.54;207.89;267.39;51.49
1980-12-01;319.21;294.42;208.28;306.48;340.08;256.71;193.74;304.67;372.22;277.52;319.38;243.55;269.01;283.66;274.09;165.36;337.6;265.86;346.02;253.72;419.01;278.39;316.16;56.12
1981-01-01;281.37;315.81;189.54;335.65;316.18;143.72;170.54;268.59;304.72;260.29;322.86;210.05;208.83;166.09;254.23;322.66;391.93;228.21;307.99;190.83;311.37;262.54;285.84;56.9
1981-02-01;101.74;195.58;133.18;60.2;81.92;181.29;141.66;76.27;78.13;92.99;61.47;106.79;159.49;145.29;118.92;235.98;271.34;87.15;67.26;21.36;240.03;57.22;149.37;12.14
1981-03-01;165.84;284.33;53.62;221.23;201.31;62.38;88.97;265.86;312.92;120.75;237.23;67.86;159.09;84.21;194.45;209.14;346.63;264.9;355.67;322.58;352.36;216.97;344.31;288.37
1981-04-01;54.93;105.6;79.28;43.4;48.84;133.73;131.77;62.22;81.48;67.51;49.23;129.27;79.24;156.78;109.38;128.2;193.06;62.03;63.13;60.12;162.03;30.06;102.57;54.11
1981-05-01;13.37;23.98;33.3;21.66;27.14;30.85;17.84;11.42;9.65;24.81;24.15;18.61;3.74;37.33;30.33;88.89;38.81;3.49;16.09;10.25;23.63;22.48;11.41;4.45
