date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1901-01-01;270.23;298.36;143.75;271.55;319.55;169.63;166.56;275.85;272.27;238.23;283.26;197.16;241.37;172.26;321.42;236.79;326.5;285.85;300.84;187.57;375.81;287.45;293.68;52.84
1901-02-01;202.44;320.56;141.87;198.28;206.76;149.94;145.41;208.76;238.5;190.68;193.76;153.41;179.09;140.71;232.35;232.91;339.89;209.3;242.62;140.42;379.12;166.17;278.31;109.89
1901-03-01;186.7;320.92;139.83;165.48;246.13;125.99;119.97;180.5;225.0;173.29;169.35;125.04;161.59;112.41;287.09;216.81;339.4;200.16;211.9;135.84;352.5;167.58;269.48;138.09
1901-04-01;109.24;213.38;132.57;82.19;100.03;159.28;125.63;103.02;123.03;119.02;92.37;129.16;92.72;166.52;165.45;95.74;200.3;109.54;119.89;76.44;159.52;71.18;164.42;89.42
1901-05-01;53.55;94.99;133.76;30.82;42.29;104.02;119.27;37.08;25.38;56.68;41.28;69.51;71.69;92.49;66.78;65.73;95.9;42.14;33.35;18.67;55.23;33.34;53.35;28.65
1901-06-01;18.15;35.74;144.65;8.27;12.88;100.98;83.14;10.2;4.45;20.3;14.51;47.36;34.66;77.2;13.85;41.09;29.21;11.64;8.1;7.85;14.99;12.58;12.21;19.65
1901-07-01;27.67;17.5;151.12;12.67;31.96;150.48;64.96;10.56;2.76;48.41;18.55;71.42;28.37;129.73;68.05;29.68;14.03;11.43;5.9;7.67;2.29;17.29;6.26;34.29
1901-08-01;28.13;37.55;156.55;14.24;36.52;236.63;93.51;14.97;6.08;55.17;17.85;95.78;35.55;203.16;72.95;35.01;34.83;16.94;9.67;6.79;23.32;14.73;14.81;8.42
1901-09-01;51.1;82.25;180.2;44.68;70.48;125.08;112.19;48.08;35.19;40.95;59.3;52.35;65.46;81.04;82.91;63.89;95.89;50.72;45.91;19.26;100.94;49.17;57.06;11.37
1901-10-01;103.85;154.21;162.13;147.27;80.48;139.97;164.23;149.5;142.96;60.95;149.92;90.02;139.6;118.06;60.62;133.09;161.91;156.07;153.89;91.73;173.82;118.38;149.4;23.31
1901-11-01;158.11;197.83;140.85;211.25;170.75;117.72;141.68;210.85;220.52;109.62;206.89;98.98;157.56;102.55;133.75;153.74;227.75;219.73;232.91;169.48;240.08;203.62;204.01;53.37
1901-12-01;305.33;274.71;148.41;298.11;422.27;145.15;160.27;285.16;266.79;271.76;289.73;193.6;237.78;148.17;404.03;203.61;313.66;281.08;297.64;205.92;383.93;307.31;276.49;40.48
