date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1900-01-01;255.51;242.17;98.39;263.13;241.64;118.38;138.69;254.89;251.38;218.92;273.85;199.04;228.74;159.01;208.31;238.41;294.62;260.18;258.05;152.18;285.67;245.08;254.53;62.13
1900-02-01;166.9;242.59;83.52;170.66;159.75;125.29;126.48;163.05;196.43;157.09;175.52;143.89;168.0;156.8;150.3;208.0;251.27;167.67;183.74;101.53;267.5;142.06;216.43;66.3
1900-03-01;145.51;253.56;67.54;168.42;160.13;62.13;72.71;174.6;147.49;121.01;161.93;68.03;119.9;62.38;171.42;182.72;293.04;164.43;188.42;73.62;260.03;144.75;155.93;0.06
1900-04-01;150.36;207.42;203.74;146.45;117.74;203.72;179.17;161.85;111.71;153.5;150.93;169.78;165.86;198.91;130.91;134.71;236.36;167.88;166.21;58.6;215.02;115.86;124.8;11.34
1900-05-01;155.56;57.05;223.85;118.26;111.36;283.75;196.38;125.67;50.78;172.26;134.02;245.22;167.42;313.1;119.86;71.91;63.37;140.87;114.07;37.32;46.99;102.48;78.5;3.86
1900-06-01;27.04;11.21;100.13;10.24;30.72;72.14;85.45;5.71;0.16;45.04;17.33;68.19;34.46;110.37;40.79;98.51;71.0;11.07;0.82;1.72;96.72;13.27;3.11;2.22
1900-07-01;1.49;6.68;116.75;0.0;5.52;59.57;57.34;0.0;0.02;6.22;0.0;23.93;6.32;75.05;12.01;56.55;30.97;0.0;0.0;1.36;37.01;1.13;4.27;27.02
1900-08-01;34.23;9.86;170.34;13.95;27.15;146.99;94.46;16.92;4.1;38.24;26.84;54.71;43.36;104.63;36.84;37.87;7.25;23.33;14.13;2.34;13.29;18.27;14.35;4.97
1900-09-01;13.24;57.52;173.07;2.5;27.33;143.49;92.99;3.24;10.37;10.86;21.04;47.58;29.61;118.93;30.38;90.24;106.6;6.91;0.91;5.85;120.5;11.19;31.97;15.36
1900-10-01;123.03;142.96;206.89;122.12;117.69;209.62;188.51;131.73;125.68;102.49;125.37;168.16;133.29;246.27;106.15;147.47;202.27;123.93;141.58;81.41;211.15;110.55;128.1;31.24
1900-11-01;229.24;148.57;148.1;272.63;216.89;157.69;176.06;270.45;252.51;198.69;258.26;180.22;199.09;170.89;192.43;120.82;136.8;252.07;272.37;194.15;188.09;245.86;202.39;28.2
1900-12-01;280.62;190.29;116.24;323.99;282.25;103.97;175.94;312.01;344.88;235.09;312.99;191.63;238.71;145.38;241.03;216.97;230.5;288.32;311.5;258.66;268.5;298.88;318.35;150.74
1901-01-01;267.8;378.86;124.61;302.64;297.12;140.06;150.93;310.14;389.11;212.41;302.21;184.16;291.88;181.48;264.82;258.14;442.39;336.0;397.3;176.03;530.96;294.14;383.35;20.45
1901-02-01;206.77;322.09;90.42;228.46;215.87;119.79;119.38;235.18;341.57;181.52;224.77;145.86;226.37;144.18;206.0;235.29;353.09;256.33;320.25;169.94;450.39;198.28;361.53;125.41
1901-03-01;208.48;271.16;85.31;232.4;242.85;101.3;100.4;220.49;192.96;177.08;233.77;126.35;151.05;107.24;250.1;185.94;269.09;195.56;188.54;202.09;222.38;227.65;247.14;150.84
1901-04-01;130.17;126.56;186.51;121.57;104.03;204.29;145.87;124.93;89.54;127.43;131.58;157.08;115.08;213.29;119.87;79.08;137.25;116.59;100.49;63.46;122.78;99.52;110.1;25.16
1901-05-01;41.7;94.53;100.65;21.75;32.56;62.68;105.38;22.71;20.25;35.35;40.21;53.06;51.1;112.23;40.36;73.3;99.23;26.75;20.92;7.34;73.09;21.59;46.19;4.19
1901-06-01;3.86;11.38;102.29;0.0;0.0;68.13;56.37;0.54;2.52;0.62;3.1;25.26;11.88;98.18;0.46;89.14;18.67;1.35;0.0;0.13;19.65;0.0;10.14;0.42
1901-07-01;43.87;45.79;161.92;22.97;57.39;165.03;81.02;15.42;2.41;77.21;29.73;114.43;42.21;152.62;66.36;47.51;53.89;14.38;5.23;11.61;28.11;41.72;14.0;5.02
1901-08-01;72.67;15.87;209.24;49.59;56.96;223.36;129.0;53.92;17.78;76.59;62.91;128.3;89.27;187.59;60.21;102.09;31.54;64.52;46.2;15.02;14.45;51.34;24.53;1.9
1901-09-01;19.69;110.41;155.01;16.8;59.15;121.9;113.62;23.81;52.99;14.79;31.07;35.24;69.37;100.71;62.28;112.59;116.14;41.22;58.72;13.92;158.88;37.43;97.17;6.76
1901-10-01;26.03;99.77;142.66;25.73;50.24;139.64;130.54;36.38;67.92;21.1;23.52;58.94;60.41;140.96;46.86;108.77;112.09;34.2;74.64;27.4;137.96;32.01;105.64;28.73
1901-11-01;169.07;129.67;124.9;225.69;152.66;118.18;141.44;223.85;218.43;85.1;221.49;83.81;147.75;121.01;116.33;142.03;145.56;205.32;218.27;175.26;195.35;190.5;175.1;39.87
1901-12-01;311.1;342.03;67.93;387.23;362.0;107.13;130.74;393.11;464.21;244.13;364.82;179.1;315.0;133.26;319.68;227.83;374.67;401.97;466.51;276.76;455.25;373.78;408.31;42.02
1902-01-01;273.25;251.09;154.13;287.29;275.12;137.44;212.62;275.49;268.28;231.57;299.53;197.17;251.25;170.25;236.84;195.12;288.05;276.59;276.33;175.36;296.69;277.42;262.11;57.94
1902-02-01;414.06;334.42;93.3;442.54;253.45;144.02;92.74;447.08;391.85;239.42;491.25;151.74;301.62;139.57;200.36;218.06;356.95;444.51;405.85;236.15;343.03;300.9;278.82;5.35
1902-03-01;267.0;391.98;175.63;296.47;234.43;226.93;122.69;314.19;333.59;192.28;302.3;179.74;260.54;182.58;219.18;215.89;406.05;323.42;336.62;191.98;422.3;241.29;338.95;85.09
1902-04-01;100.43;165.18;121.4;102.05;81.93;120.15;118.39;111.45;105.27;104.49;106.29;108.74;106.8;119.34;92.87;106.58;168.94;106.42;107.0;59.24;139.58;79.59;124.71;26.61
1902-05-01;6.75;83.0;144.36;0.0;2.15;106.19;149.93;1.1;19.23;4.21;3.67;56.09;50.33;151.36;1.08;69.56;85.96;10.66;12.93;0.65;91.18;0.0;52.77;11.07
1902-06-01;79.99;13.66;153.95;57.11;85.38;183.56;98.57;48.14;21.83;111.24;62.39;159.8;69.04;198.76;90.55;52.12;8.15;48.27;29.31;25.55;18.44;67.07;11.27;0.07
1902-07-01;0.38;16.54;135.68;0.0;0.0;85.12;58.35;0.0;0.0;0.0;0.0;15.51;4.88;86.93;0.0;39.31;11.54;0.0;0.0;0.05;9.03;0.0;5.17;3.45
1902-08-01;63.66;112.92;172.76;40.8;79.15;237.68;91.5;43.05;13.02;104.7;41.0;146.49;77.6;189.04;92.85;59.57;137.6;50.4;36.28;22.75;124.59;61.33;38.38;19.22
1902-09-01;109.27;73.33;149.19;110.18;108.54;129.79;116.66;110.62;73.39;62.84;138.78;69.91;93.49;113.82;98.64;85.12;79.85;109.5;85.25;71.52;80.13;103.95;54.91;7.56
1902-10-01;145.2;92.26;187.57;143.3;130.45;203.37;173.58;148.0;114.02;118.7;152.67;150.39;121.36;214.27;117.02;107.66;106.26;130.32;132.72;92.07;97.7;126.28;90.66;12.62
1902-11-01;177.46;101.65;262.69;197.07;261.6;305.12;242.91;174.76;154.5;289.86;152.4;287.12;177.07;301.25;277.75;149.12;125.32;140.95;172.42;153.15;162.8;245.11;149.5;33.7
1902-12-01;406.36;180.63;170.8;466.26;319.74;200.81;215.32;455.29;370.14;270.06;480.13;241.24;312.57;232.85;247.88;205.55;232.83;419.65;386.22;311.72;223.38;376.51;247.72;96.18
1903-01-01;214.46;229.06;120.08;234.28;222.24;92.59;114.72;223.04;228.01;151.69;247.67;141.27;196.3;127.02;181.55;240.06;294.22;224.55;225.41;160.65;280.04;225.81;239.56;107.73
1903-02-01;138.86;254.11;139.58;150.24;167.58;171.43;198.86;140.9;186.71;135.44;149.86;120.99;158.31;157.96;156.92;231.7;294.23;145.28;180.82;88.66;308.2;143.19;220.66;44.46
1903-03-01;98.53;207.75;189.01;104.77;113.14;191.29;167.95;107.75;108.89;98.99;92.24;157.92;121.24;179.81;119.19;171.55;243.64;103.63;113.97;37.92;201.9;94.71;150.81;4.13
1903-04-01;37.21;211.04;77.76;38.08;50.62;72.21;88.82;52.26;88.08;68.28;31.95;59.91;79.99;79.5;76.44;115.11;209.78;58.71;89.63;13.2;205.84;34.24;144.35;3.55
1903-05-01;50.04;80.05;82.05;25.32;63.27;80.55;73.97;24.16;15.24;74.09;36.39;81.94;54.91;123.12;78.37;111.71;75.97;27.14;20.8;12.08;59.62;42.69;34.29;1.08
1903-06-01;2.42;8.19;223.17;0.0;5.85;148.47;108.97;0.0;0.0;9.39;0.0;49.23;11.93;153.81;14.43;69.68;6.82;0.16;0.0;0.0;8.85;0.0;2.83;0.12
1903-07-01;8.8;6.17;131.32;0.0;14.89;130.24;78.53;0.0;0.0;20.79;2.89;62.96;19.9;119.87;20.93;52.0;3.69;0.36;0.0;0.07;5.52;4.81;1.68;0.91
1903-08-01;15.54;11.61;249.4;1.76;33.81;125.92;126.89;2.28;0.0;30.48;12.49;46.03;32.6;107.7;47.15;62.34;24.44;4.33;1.24;1.81;15.73;18.96;6.22;0.93
1903-09-01;45.4;83.88;98.81;37.98;43.58;74.72;47.61;43.92;41.11;24.89;61.07;33.81;55.62;71.17;43.29;127.56;90.89;53.29;48.26;17.58;96.32;33.47;58.7;1.07
1903-10-01;138.46;201.32;169.32;156.14;133.94;199.06;238.65;171.99;198.83;125.16;160.69;179.7;177.77;246.77;129.08;118.89;213.92;169.62;209.73;97.67;267.49;129.25;202.53;9.09
1903-11-01;129.59;150.47;81.79;178.09;146.51;122.18;117.58;175.93;198.67;103.52;158.41;93.58;134.27;120.39;130.61;158.57;175.33;161.8;197.45;149.92;240.27;166.27;189.21;54.55
1903-12-01;238.38;206.18;262.32;291.78;306.8;260.89;271.49;269.53;250.37;235.68;274.03;259.15;218.16;276.13;285.98;172.87;253.93;238.87;261.77;200.37;251.39;303.98;234.16;63.54
1904-01-01;277.2;292.7;110.25;286.55;268.22;265.88;151.99;275.85;265.34;247.75;298.81;214.27;246.67;221.42;236.87;253.48;341.67;277.45;275.43;166.38;317.73;270.3;262.07;41.53
1904-02-01;190.05;260.12;70.19;208.96;154.78;139.54;112.63;203.51;211.89;127.0;224.15;118.76;174.02;155.24;130.31;210.57;301.82;204.13;212.51;104.58;288.47;154.7;205.73;16.96
1904-03-01;56.58;228.78;45.62;83.28;83.4;71.87;47.42;92.96;134.2;17.43;76.61;22.53;80.02;64.35;89.03;163.77;241.44;96.16;119.09;71.16;225.92;67.38;206.28;82.46
1904-04-01;58.53;152.11;106.46;81.65;42.17;66.22;86.33;94.24;115.25;11.26;88.55;12.59;64.24;73.18;47.41;88.74;150.59;88.87;101.98;68.61;127.83;51.03;118.01;17.14
1904-05-01;86.81;138.06;107.62;67.87;61.86;70.1;105.2;70.68;52.05;82.29;86.47;67.63;82.63;111.16;69.26;59.32;108.59;73.98;57.03;34.04;78.19;55.71;78.57;7.51
1904-06-01;12.8;46.65;88.75;0.0;13.87;90.17;54.08;0.2;0.0;32.57;0.99;53.33;15.16;117.58;26.98;56.07;27.1;1.54;0.0;0.45;21.09;0.27;20.9;4.16
1904-07-01;2.08;20.53;207.61;0.0;4.67;115.46;92.78;0.0;0.0;2.1;0.87;27.29;10.52;117.42;11.44;37.55;4.47;0.22;0.0;2.84;5.45;0.86;16.38;28.42
1904-08-01;46.07;16.95;144.45;25.11;46.01;165.68;99.3;24.29;5.19;54.39;37.14;99.02;46.97;148.27;53.54;64.81;22.32;25.31;11.95;15.45;12.46;35.82;13.49;19.99
1904-09-01;147.09;77.43;139.83;132.91;127.01;134.37;147.62;134.46;93.0;139.12;157.55;124.55;132.72;132.01;128.35;64.93;78.82;134.38;110.4;77.74;96.64;119.84;71.93;14.01
1904-10-01;145.96;164.19;186.51;143.14;143.05;190.01;185.94;153.09;154.78;141.4;145.1;152.1;147.43;204.84;137.99;133.48;178.25;145.3;170.77;100.94;193.17;132.09;155.7;36.87
1904-11-01;202.78;105.41;63.38;251.61;174.98;134.85;121.94;245.93;207.35;144.06;245.49;105.31;151.26;117.02;147.69;134.77;121.63;218.67;216.71;184.69;164.67;210.94;148.25;55.08
1904-12-01;302.69;204.59;122.26;353.84;325.81;106.64;169.12;334.43;294.6;235.31;345.76;175.81;240.85;123.46;282.4;173.59;239.9;302.33;309.99;236.64;247.83;341.5;243.0;38.55
1905-01-01;277.76;338.61;83.0;287.83;316.79;120.94;112.53;278.28;306.2;272.75;288.55;193.91;267.16;147.76;301.64;232.78;390.96;289.26;318.26;171.76;419.63;301.02;320.79;38.11
1905-02-01;196.08;278.2;147.39;202.82;220.6;160.35;177.02;187.74;201.33;191.84;204.87;153.48;177.01;180.35;218.77;219.44;312.44;183.15;203.16;115.62;297.03;194.74;214.17;29.79
1905-03-01;159.23;324.5;88.27;179.19;194.35;74.66;111.63;193.27;260.16;172.55;162.1;103.06;195.13;79.0;211.57;220.85;348.5;205.11;249.56;166.54;386.92;169.96;347.81;181.19
1905-04-01;83.31;166.8;159.4;94.28;50.09;196.29;162.15;106.62;98.9;36.89;107.82;91.45;95.84;195.59;53.95;84.58;135.12;102.65;96.21;60.65;104.65;56.75;126.61;59.11
1905-05-01;112.74;67.55;247.78;71.44;76.94;253.96;310.22;67.81;14.51;123.68;90.59;244.01;140.18;352.74;81.86;89.09;59.17;64.94;30.55;19.14;47.2;67.2;32.86;0.88
