date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1891-01-01;267.29;310.96;164.57;269.29;263.59;166.43;177.42;266.4;269.76;285.89;285.89;209.8;245.14;194.16;256.55;268.62;332.69;268.26;284.44;169.9;326.81;269.64;280.48;73.21
1891-02-01;223.29;296.67;136.13;205.66;213.85;172.69;156.09;207.53;228.98;203.34;213.16;160.84;196.45;175.27;229.06;247.31;312.99;200.0;226.24;135.31;311.05;185.72;251.21;82.27
1891-03-01;159.9;298.64;118.29;182.12;138.89;120.03;130.17;196.78;219.32;110.18;180.59;128.74;176.48;133.91;94.06;218.19;322.93;200.04;212.37;134.83;293.63;155.91;262.34;122.07
1891-04-01;82.41;206.67;135.66;79.73;72.8;113.55;117.02;91.26;107.22;104.52;85.16;91.2;92.42;129.22;116.31;133.79;215.65;93.04;101.2;65.61;173.08;65.94;157.6;87.48
1891-05-01;55.05;90.19;138.74;30.21;49.06;127.62;134.58;32.77;25.04;81.54;42.91;101.97;70.45;161.57;69.98;78.21;88.06;37.4;27.66;14.15;54.44;36.02;51.6;32.71
1891-06-01;25.84;24.98;155.54;9.61;22.8;129.79;100.19;9.88;5.62;42.28;17.12;88.3;34.93;171.13;37.12;46.98;25.08;13.92;6.5;3.83;11.55;14.05;13.69;22.95
1891-07-01;19.04;13.62;145.94;10.23;18.86;139.82;65.07;8.41;2.9;41.1;15.02;63.61;21.22;129.22;41.5;36.07;11.59;8.45;5.24;3.29;5.09;12.56;8.07;18.4
1891-08-01;23.36;26.87;130.69;13.78;28.08;139.55;72.27;14.38;6.27;41.9;16.27;56.14;30.01;100.99;61.96;47.75;30.32;17.06;10.85;3.87;20.64;13.63;14.15;7.69
1891-09-01;55.11;79.61;179.93;46.44;55.0;159.82;121.86;47.06;35.51;70.84;62.36;103.91;74.46;150.69;57.65;80.0;90.33;53.46;48.23;19.49;93.29;50.04;53.4;8.39
1891-10-01;125.71;163.79;178.37;123.92;113.89;170.44;172.15;136.2;136.35;109.23;134.22;134.03;127.59;191.57;107.56;133.33;168.13;130.7;153.59;78.95;176.6;113.76;139.91;13.6
