date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1979-01-01;199.02;377.94;34.92;448.73;270.32;48.55;90.85;475.34;479.46;176.42;407.43;96.18;240.62;71.7;207.49;335.09;329.21;375.29;488.34;417.37;372.31;386.7;448.53;149.8
1979-02-01;154.23;394.42;189.96;337.63;307.66;123.82;161.89;289.36;346.92;149.88;334.94;143.45;157.49;154.83;174.69;229.34;415.74;227.69;316.76;319.55;426.7;364.18;328.4;111.29
1979-03-01;107.73;243.08;76.81;154.75;143.57;97.81;79.16;215.23;223.24;129.49;152.35;77.51;115.83;85.88;174.29;278.57;313.79;137.81;210.27;132.62;278.15;153.09;215.45;98.05
1979-04-01;76.71;139.96;199.47;77.91;81.91;139.08;144.2;68.38;84.37;86.54;82.84;80.71;86.82;154.64;102.7;111.88;181.16;63.41;64.34;77.74;134.55;77.84;129.33;82.18
1979-05-01;88.42;71.18;186.71;56.33;76.2;226.63;239.9;45.63;17.29;111.16;67.23;199.41;83.22;324.72;104.32;93.18;72.99;58.14;29.84;18.65;48.65;68.54;41.34;41.62
1979-06-01;0.01;1.5;56.25;0.05;2.06;56.89;7.66;0.13;0.02;8.05;0.01;7.17;0.42;37.05;37.03;3.93;1.31;0.01;0.08;0.49;0.72;1.35;2.63;31.29
1979-07-01;36.92;13.62;161.33;18.58;40.97;137.67;98.48;8.85;0.43;52.16;26.35;74.89;72.85;107.68;72.74;25.15;8.34;29.53;5.06;2.77;4.9;28.47;4.07;21.0
1979-08-01;45.96;73.1;188.94;22.44;48.1;140.52;104.85;25.97;51.58;72.29;28.91;99.5;33.29;131.52;95.14;43.68;57.6;23.91;35.69;7.42;53.78;35.11;53.68;5.17
1979-09-01;131.75;112.13;219.25;72.33;116.59;127.53;245.58;77.64;52.99;141.62;90.72;211.66;171.06;175.58;143.33;76.82;112.09;105.79;61.98;21.45;107.51;85.9;99.46;9.9
1979-10-01;100.56;147.31;383.35;77.86;99.86;311.17;223.14;98.68;138.78;123.26;75.17;162.33;122.32;361.42;126.73;101.85;156.28;89.46;113.86;100.01;136.79;84.71;126.07;4.37
1979-11-01;163.76;236.92;153.69;225.36;208.97;179.78;203.86;212.92;211.6;171.67;231.33;150.27;185.56;179.01;212.25;182.0;246.46;213.78;214.7;202.29;227.15;233.92;189.7;42.25
1979-12-01;357.76;250.72;247.49;287.36;325.81;200.78;260.82;279.84;252.96;285.82;307.16;174.58;327.51;205.82;242.11;225.72;268.72;342.29;279.93;219.67;283.4;303.51;266.22;61.26
1980-01-01;241.34;413.79;78.17;427.71;345.92;154.16;147.83;428.53;416.01;242.11;432.04;223.09;210.61;198.31;244.51;295.86;420.0;320.29;446.47;354.23;466.25;389.46;348.63;154.58
1980-02-01;259.29;497.37;107.07;281.69;204.88;176.92;222.41;509.78;593.99;257.21;263.6;263.33;302.31;185.31;229.35;292.66;429.68;372.63;559.61;343.23;511.67;221.11;546.24;242.19
1980-03-01;91.74;220.63;221.7;53.97;86.04;131.09;104.38;74.83;129.8;108.87;60.68;133.84;111.22;138.32;131.53;225.72;261.44;70.79;82.86;35.23;235.89;62.41;160.58;49.91
1980-04-01;121.37;150.77;97.76;152.56;167.0;84.71;53.73;150.73;129.71;129.76;158.51;106.53;98.36;82.48;159.85;145.69;176.59;133.8;151.04;79.59;148.64;159.37;142.09;17.77
1980-05-01;22.21;46.96;195.24;17.76;20.77;145.48;218.85;23.37;13.19;22.44;20.87;81.67;76.46;154.42;23.5;70.06;64.51;19.89;19.32;7.26;51.66;20.38;26.19;6.03
1980-06-01;89.0;17.93;97.99;39.63;81.41;82.36;69.0;16.73;3.94;91.34;48.3;89.85;47.07;106.15;87.79;25.03;23.45;31.66;11.88;10.07;17.48;54.58;12.46;27.39
1980-07-01;0.07;6.58;128.45;0.42;1.32;186.97;53.62;0.03;0.05;27.43;0.59;85.43;6.42;189.85;38.18;31.25;9.18;0.27;0.05;0.49;1.67;1.94;1.91;14.98
1980-08-01;10.36;24.06;110.75;13.67;20.32;176.16;109.57;0.76;0.19;35.84;19.93;81.6;20.97;167.56;66.15;58.46;37.97;7.37;0.52;1.51;21.75;17.36;9.49;4.29
1980-09-01;85.92;101.11;120.73;43.67;53.14;163.0;192.65;65.72;58.81;85.81;42.62;159.77;130.04;206.93;77.71;78.5;113.27;59.69;70.96;27.19;108.52;41.81;71.21;10.13
1980-10-01;85.07;116.07;256.24;38.6;80.37;182.53;207.01;61.41;66.48;100.56;45.18;100.9;108.02;183.36;138.2;157.53;167.25;87.82;54.27;26.26;147.66;55.5;88.15;18.39
1980-11-01;219.43;301.32;202.09;280.11;236.94;156.06;129.21;278.61;320.49;184.98;286.0;114.56;169.25;128.61;194.32;178.96;263.43;261.47;310.27;214.56;336.26;248.09;283.63;54.13
1980-12-01;253.45;342.64;134.19;300.96;330.06;266.26;192.74;329.39;414.75;269.54;293.85;273.37;248.04;278.11;299.78;168.34;321.23;302.51;384.17;289.76;397.45;312.71;340.84;68.23
1981-01-01;277.91;343.48;193.1;297.68;307.47;154.17;171.61;268.54;313.94;284.95;323.69;238.44;217.6;182.3;288.08;324.91;360.05;255.47;310.35;171.01;351.68;300.32;317.31;63.66
1981-02-01;103.75;201.33;174.13;47.64;89.64;202.84;144.01;74.73;87.69;111.86;54.97;124.09;138.14;166.31;123.56;300.76;270.33;87.9;71.56;26.08;247.06;65.37;144.51;15.09
1981-03-01;144.85;345.7;56.19;274.72;193.52;65.34;107.86;348.42;371.92;149.11;266.15;85.98;158.0;80.66;190.14;249.11;351.42;223.71;357.62;344.0;384.04;245.86;370.54;324.29
1981-04-01;50.1;113.15;103.07;38.98;48.23;136.99;178.63;77.76;66.42;79.56;37.67;137.95;87.24;151.24;119.04;149.28;158.97;49.56;68.48;53.35;137.45;40.22;88.82;56.93
1981-05-01;8.39;33.13;50.14;18.86;22.57;44.54;24.77;19.32;9.11;26.52;22.3;22.69;2.74;51.67;40.24;95.68;35.21;5.86;16.82;9.55;29.7;23.17;12.72;8.97
1981-06-01;81.02;14.69;152.72;47.24;56.33;138.97;141.47;35.7;33.71;77.41;50.37;91.57;93.09;124.47;69.22;47.82;28.66;43.12;35.27;22.6;18.4;48.0;21.25;19.27
1981-07-01;0.05;6.49;51.81;1.54;1.63;59.69;13.03;14.41;3.55;31.99;0.84;29.69;3.33;55.68;62.08;10.1;2.58;1.87;9.61;1.57;0.91;1.28;5.3;11.42
1981-08-01;0.37;25.2;38.73;17.79;18.79;84.95;40.41;2.8;10.77;18.91;16.43;23.36;7.84;85.75;45.53;65.7;30.46;0.11;7.16;8.57;9.08;20.33;10.27;11.15
1981-09-01;5.97;38.38;218.25;6.16;22.37;172.03;54.05;12.67;3.81;22.36;6.66;41.03;19.81;104.86;38.81;91.1;55.15;3.67;7.4;3.64;40.59;13.37;14.66;5.5
1981-10-01;232.69;199.76;60.18;248.83;234.09;129.6;240.12;276.1;210.26;218.91;236.05;231.29;194.17;172.65;188.03;159.32;215.36;227.55;251.09;159.17;217.87;229.28;168.38;4.09
1981-11-01;176.9;298.88;162.84;341.6;264.36;172.74;166.13;337.79;297.47;177.16;353.04;166.02;187.39;210.82;205.93;193.84;307.32;238.39;308.87;250.67;337.68;336.04;269.95;23.36
