date;dona_francisca;emborcacao;ita;nova_avanhandava;nova_ponte;santa_cecilia;serra_da_mesa;teles_pires;tres_marias
1948-01-01;117.42;140.14;138.79;240.06;169.84;211.58;182.52;322.2;176.25
1948-02-01;290.38;159.85;239.6;309.67;182.53;291.94;167.0;346.25;249.97
1948-03-01;133.05;194.51;107.21;210.54;191.06;200.56;267.53;306.51;186.62
1948-04-01;191.53;28.56;101.55;84.42;31.88;91.38;45.93;157.98;32.31
1948-05-01;130.85;16.42;133.61;69.35;24.05;71.61;1.02;20.0;35.45
1948-06-01;79.02;12.25;57.57;25.96;15.51;36.37;6.36;3.43;19.26
1948-07-01;187.82;7.92;162.0;65.3;10.85;59.24;2.07;26.81;18.5
1948-08-01;53.98;1.93;145.95;58.71;2.8;52.02;1.13;11.55;7.92
1948-09-01;151.34;39.08;102.79;57.09;44.67;59.99;48.34;106.71;38.3
1948-10-01;144.94;91.34;125.2;102.02;92.1;96.93;112.37;185.03;85.5
1948-11-01;132.0;205.95;75.34;93.91;201.95;89.75;309.43;266.28;180.81
1948-12-01;23.73;497.77;50.51;153.26;454.27;140.94;559.16;435.28;376.48
1949-01-01;128.74;236.2;123.05;291.15;268.22;280.89;262.34;374.77;303.76
1949-02-01;70.31;207.57;105.29;168.65;208.66;170.62;312.99;360.41;197.36
1949-03-01;228.82;51.96;202.33;159.52;57.99;146.03;101.59;244.74;74.97
1949-04-01;60.67;95.19;99.32;83.83;86.78;83.66;106.77;147.19;72.23
1949-05-01;80.7;35.57;60.19;36.83;36.96;49.19;56.61;50.59;26.57
1949-06-01;178.13;14.71;162.25;48.51;21.48;46.52;0.28;21.74;35.3
1949-07-01;108.32;3.43;79.64;26.24;5.01;26.69;0.03;1.35;12.25
1949-08-01;69.79;0.5;114.2;31.61;0.66;39.65;0.0;5.34;4.45
1949-09-01;140.8;3.55;96.16;44.05;5.19;61.37;1.0;54.44;8.56
1949-10-01;105.11;150.84;92.61;95.18;152.44;98.89;207.38;224.12;141.81
1949-11-01;70.64;161.17;90.83;103.57;155.82;108.36;224.4;198.77;140.84
1949-12-01;129.14;229.02;116.23;268.72;249.88;233.25;177.31;315.99;296.54
1950-01-01;108.23;210.45;173.3;327.05;235.36;281.86;208.81;408.3;264.65
1950-02-01;146.37;182.88;159.05;245.49;190.41;215.75;195.1;317.79;180.12
1950-03-01;134.55;167.75;176.79;233.93;174.47;197.36;280.88;371.05;148.23
1950-04-01;113.07;94.58;75.92;149.33;108.67;141.37;112.73;169.68;129.99
1950-05-01;211.93;10.0;106.34;32.34;14.57;63.16;3.55;11.58;26.03
1950-06-01;218.55;5.75;121.55;52.81;8.29;52.92;0.5;1.67;12.86
1950-07-01;109.46;4.38;80.95;37.13;6.42;41.47;0.0;0.55;13.68
1950-08-01;60.49;0.12;104.97;15.22;0.17;36.95;0.0;3.42;1.45
1950-09-01;132.69;46.66;125.73;78.28;52.23;91.6;28.86;58.71;46.75
1950-10-01;112.8;143.71;143.14;176.87;155.07;145.61;177.45;192.53;145.21
1950-11-01;111.19;239.75;124.1;189.41;257.35;156.14;241.54;266.37;276.15
1950-12-01;144.11;222.83;167.96;205.95;226.97;202.27;257.09;365.75;207.24
