date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1948-01-01;245.43;346.5;117.43;140.14;217.52;138.8;97.65;170.16;191.24;236.2;169.85;221.76;212.99;174.72;195.21;289.3;366.55;228.75;182.52;72.74;322.19;176.25;234.33;17.62
1948-02-01;268.34;305.96;290.38;159.86;324.44;239.6;196.48;154.45;178.63;328.71;182.53;320.34;183.7;275.96;345.66;279.93;333.38;161.21;167.0;104.96;346.26;249.97;213.64;27.35
1948-03-01;206.12;305.72;133.05;194.51;202.42;107.21;141.45;260.74;267.81;218.81;191.05;171.55;179.11;121.46;218.02;246.36;340.37;219.2;267.53;167.63;306.51;186.62;283.14;205.42
1948-04-01;71.88;176.51;191.52;28.57;44.77;101.55;153.21;28.41;93.15;78.38;31.89;100.27;66.57;110.04;76.35;97.5;213.58;55.35;45.92;35.45;157.97;32.32;97.51;57.67
1948-05-01;53.51;47.32;130.85;16.43;53.66;133.61;108.16;1.64;0.52;65.32;24.06;103.44;51.61;140.86;58.42;69.05;39.99;24.55;1.02;4.1;19.99;35.45;21.94;41.77
1948-06-01;16.08;16.67;79.02;12.25;21.74;57.57;41.37;4.5;9.37;17.05;15.51;39.32;21.9;27.66;10.09;95.76;16.09;8.43;6.36;5.38;3.43;19.25;13.07;55.75
1948-07-01;43.93;21.37;187.83;7.92;28.74;162.0;140.62;1.52;1.95;68.88;10.85;109.67;45.14;161.57;66.87;96.37;33.15;14.29;2.07;3.39;26.81;18.51;13.63;46.63
1948-08-01;37.08;24.0;53.97;1.92;18.88;145.96;45.2;0.5;3.51;63.16;2.79;98.83;28.62;132.22;61.2;38.68;26.69;7.32;1.13;1.23;11.56;7.92;8.94;10.6
1948-09-01;52.68;101.66;151.35;39.08;39.24;102.79;121.68;42.99;57.5;48.11;44.67;70.59;64.95;86.97;37.04;88.32;114.79;52.17;48.33;15.36;106.71;38.31;61.03;5.16
1948-10-01;98.39;170.42;144.93;91.34;74.23;125.2;178.16;106.64;108.67;96.91;92.1;122.03;122.51;142.45;78.58;196.05;194.06;105.74;112.36;92.67;185.03;85.5;100.31;13.92
1948-11-01;112.35;206.24;132.0;205.95;153.39;75.35;166.92;251.19;316.07;90.45;201.96;69.42;172.49;74.43;83.64;192.91;203.29;212.16;309.42;166.41;266.28;180.82;219.29;18.16
1948-12-01;188.42;350.75;23.71;497.77;242.0;50.5;81.1;492.16;576.49;145.82;454.27;108.47;224.83;56.26;115.89;302.92;381.49;387.38;559.16;449.51;435.28;376.49;366.95;109.57
1949-01-01;290.31;363.87;128.74;236.19;353.44;123.05;155.5;240.0;289.33;291.69;268.21;243.62;241.63;158.84;283.73;295.23;380.06;240.72;262.35;161.37;374.77;303.76;316.59;31.76
1949-02-01;171.0;315.62;70.31;207.57;201.18;105.28;106.18;312.54;289.25;168.21;208.66;128.28;194.64;112.31;163.61;187.13;329.37;258.44;312.98;146.24;360.42;197.36;261.81;79.66
1949-03-01;140.46;226.31;228.81;51.97;113.02;202.33;114.05;84.41;121.64;155.69;58.0;178.92;114.07;219.51;126.76;216.7;259.93;82.09;101.58;39.6;244.74;74.98;162.44;40.32
1949-04-01;75.99;182.96;60.66;95.2;66.22;99.32;76.5;93.51;124.2;75.35;86.79;103.67;74.62;113.31;55.74;103.99;176.54;90.84;106.77;89.95;147.19;72.23;139.4;90.33
1949-05-01;28.33;80.94;80.69;35.56;24.85;60.2;126.67;65.29;39.63;31.55;36.95;43.97;55.76;55.3;36.01;31.91;87.46;40.76;56.61;17.62;50.58;26.57;55.86;45.65
1949-06-01;33.93;23.04;178.14;14.71;49.51;162.26;165.93;0.27;0.61;51.65;21.48;92.9;34.51;153.63;56.05;86.66;37.97;7.74;0.3;4.13;21.75;35.31;6.45;29.19
