date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1940-01-01;240.36;-999.0;284.77;-999.0;272.0;262.59;159.57;-999.0;-999.0;241.86;271.79;179.23;65.37;284.22;266.22;-999.0;-999.0;-999.0;-999.0;213.06;-999.0;360.73;325.59;146.14
1940-02-01;308.83;-999.0;102.5;-999.0;288.93;107.93;190.22;-999.0;-999.0;290.16;319.94;133.3;124.69;122.47;313.62;-999.0;-999.0;-999.0;-999.0;203.75;-999.0;175.56;304.4;171.88
1940-03-01;113.97;-999.0;150.03;-999.0;195.82;126.77;224.53;-999.0;-999.0;93.08;262.31;70.11;31.51;124.09;161.03;-999.0;-999.0;-999.0;-999.0;229.46;-999.0;237.14;301.46;207.25
1940-04-01;35.18;-999.0;246.13;-999.0;52.94;243.22;118.26;-999.0;-999.0;50.22;45.44;83.43;82.83;257.31;59.67;-999.0;-999.0;-999.0;-999.0;12.59;-999.0;31.18;94.82;57.64
1940-05-01;25.1;-999.0;273.0;-999.0;23.85;125.56;147.55;-999.0;-999.0;33.42;50.62;34.66;26.52;114.54;32.92;-999.0;-999.0;-999.0;-999.0;10.34;-999.0;42.66;34.54;52.78
1940-06-01;1.26;-999.0;205.63;-999.0;10.85;96.84;50.39;-999.0;-999.0;3.36;10.33;5.02;0.6;64.1;12.63;-999.0;-999.0;-999.0;-999.0;1.02;-999.0;7.36;32.23;16.76
1940-07-01;1.71;-999.0;251.47;-999.0;2.39;91.09;70.27;-999.0;-999.0;4.61;0.06;15.81;12.41;65.76;8.09;-999.0;-999.0;-999.0;-999.0;0.76;-999.0;0.55;3.97;20.15
1940-08-01;5.25;-999.0;146.33;-999.0;5.09;166.53;45.35;-999.0;-999.0;9.48;0.0;28.99;7.58;138.07;19.09;-999.0;-999.0;-999.0;-999.0;0.38;-999.0;0.0;18.03;9.67
1940-09-01;18.62;-999.0;74.73;-999.0;59.58;53.59;27.99;-999.0;-999.0;21.76;45.47;25.69;8.86;43.91;63.29;-999.0;-999.0;-999.0;-999.0;28.18;-999.0;51.84;22.19;21.69
1940-10-01;128.72;-999.0;232.53;-999.0;136.85;166.4;110.64;-999.0;-999.0;115.79;139.45;82.34;138.06;147.36;137.35;-999.0;-999.0;-999.0;-999.0;70.67;-999.0;182.43;114.32;17.63
