date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
2000-07-01;31.86;41.82;124.6;6.15;27.51;132.16;77.5;10.55;1.24;56.72;8.88;60.42;30.22;105.21;57.5;57.8;24.24;8.89;5.19;2.62;2.84;9.45;13.61;17.76
2000-08-01;44.03;39.14;93.25;24.63;30.79;96.39;143.83;28.14;3.73;66.48;9.93;106.09;74.26;91.66;66.54;41.37;38.31;22.34;17.45;8.26;19.74;20.23;12.0;16.45
2000-09-01;126.36;143.86;180.5;95.28;114.67;282.07;216.01;131.65;73.7;125.21;126.1;172.85;134.45;281.35;96.42;54.02;134.56;87.61;72.78;32.38;102.93;74.49;97.95;15.44
2000-10-01;41.27;135.72;281.69;59.01;60.95;272.95;159.74;82.04;78.1;54.88;63.79;98.04;56.95;215.32;65.4;128.6;146.81;55.86;99.95;33.47;141.0;44.02;97.05;3.28
2000-11-01;215.76;238.86;155.91;264.7;226.55;101.66;165.77;253.6;272.75;220.69;239.73;166.37;175.87;91.94;196.41;176.34;238.98;251.92;289.94;234.89;233.85;263.68;240.76;70.26
2000-12-01;232.57;286.67;153.72;255.88;240.71;187.55;198.02;259.63;348.97;222.28;227.57;188.53;213.39;166.71;258.26;197.55;277.0;280.26;325.73;276.86;313.37;250.03;302.86;87.07
2001-01-01;165.03;314.8;308.85;130.15;155.02;222.23;179.29;167.79;135.64;200.49;211.83;160.61;188.48;214.5;146.73;269.11;379.49;170.18;151.19;69.75;321.39;156.52;202.33;18.11
2001-02-01;118.23;207.7;167.23;70.35;116.41;198.4;273.9;110.71;177.92;187.45;115.6;253.98;207.16;312.94;165.52;236.44;296.43;124.51;143.65;63.01;206.0;65.06;202.52;46.95
2001-03-01;159.16;308.09;149.6;223.15;174.36;131.39;143.92;248.37;265.81;138.86;208.68;128.43;169.04;135.47;149.49;211.8;332.96;191.41;244.35;134.28;295.06;152.48;281.92;144.55
2001-04-01;48.46;170.65;205.9;28.41;18.09;173.79;113.14;57.39;67.06;40.71;39.41;65.29;76.4;131.79;42.09;113.19;164.56;54.09;48.62;21.68;131.39;15.08;132.99;15.24
2001-05-01;76.15;107.1;124.72;42.05;55.95;182.18;107.79;59.25;20.66;82.97;52.82;143.52;113.8;140.62;64.1;82.62;114.54;82.88;37.08;25.17;74.9;44.94;73.37;13.75
2001-06-01;14.78;46.27;102.08;0.41;3.68;135.4;103.44;4.03;1.59;39.36;0.97;98.86;27.21;138.02;8.95;34.62;43.3;5.98;1.29;3.24;12.55;0.09;15.3;41.68
2001-07-01;9.49;12.42;187.44;1.41;5.5;147.03;55.75;3.83;0.29;41.44;12.68;63.4;23.29;148.78;29.7;41.65;24.57;1.7;1.55;1.87;7.47;5.98;6.22;23.87
2001-08-01;39.43;6.22;51.44;21.88;34.02;54.34;75.67;24.18;2.19;54.33;35.01;70.46;40.1;82.17;68.61;25.49;6.06;18.04;9.78;9.66;14.44;26.24;4.14;18.32
2001-09-01;70.08;59.7;198.27;48.4;65.64;102.79;126.92;79.14;36.15;68.72;53.89;82.32;91.36;125.42;56.89;81.59;91.59;67.83;63.35;15.56;120.15;49.83;51.21;10.68
2001-10-01;150.19;128.85;167.07;88.92;120.62;199.93;95.47;135.49;171.17;159.28;113.28;134.08;96.54;159.97;123.59;120.89;121.29;128.7;182.41;101.63;125.21;106.63;187.77;33.79
