date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1948-01-01;246.54;350.64;109.24;175.04;213.26;153.48;121.58;181.97;189.58;237.47;221.5;224.75;218.78;171.0;196.01;298.94;371.64;228.61;179.9;62.24;321.44;204.31;235.27;14.46
1948-02-01;248.59;304.25;265.69;147.94;338.49;269.66;210.69;147.13;160.45;311.27;201.35;296.76;185.8;259.42;299.45;287.5;335.44;180.43;167.35;99.06;357.13;269.86;212.22;36.9
1948-03-01;217.41;294.04;114.21;220.0;210.97;118.77;149.03;244.55;245.13;230.81;219.19;171.59;181.12;118.88;223.68;253.59;348.95;234.01;275.61;161.12;303.0;182.06;283.66;208.73
1948-04-01;61.65;172.42;152.39;41.62;41.19;104.61;139.0;42.11;89.02;67.19;41.47;96.78;59.25;113.11;51.52;99.79;220.9;40.43;38.77;31.94;154.25;33.41;101.18;53.88
1948-05-01;45.51;56.24;127.3;16.19;54.66;143.35;95.75;10.8;0.43;65.34;35.48;103.58;47.15;139.7;56.71;73.18;39.59;14.9;0.27;3.26;15.85;37.79;23.68;36.98
1948-06-01;10.34;18.13;71.37;14.61;21.95;38.7;37.69;6.88;9.94;14.86;15.44;42.81;19.56;25.87;14.01;100.04;16.57;5.16;7.81;4.63;3.19;19.63;12.76;45.28
1948-07-01;31.43;22.21;203.5;6.42;28.4;158.92;121.77;5.08;1.61;62.01;17.49;106.39;49.76;170.01;44.87;104.86;33.8;12.95;1.87;2.58;27.34;24.22;13.64;37.07
1948-08-01;23.03;23.77;83.88;2.29;19.94;150.06;48.19;2.74;2.77;61.39;5.53;98.67;27.46;129.17;42.91;38.74;27.43;5.21;0.42;1.0;12.28;4.85;9.15;9.03
1948-09-01;46.44;94.48;141.18;54.65;38.22;97.57;100.76;51.38;46.74;40.28;50.1;72.63;62.05;84.97;34.77;85.34;119.18;44.59;42.0;12.82;108.05;36.19;60.11;4.24
1948-10-01;93.58;163.44;132.29;101.45;69.96;132.56;168.08;102.36;110.15;98.58;88.71;122.06;119.73;145.85;77.63;192.41;197.37;103.63;131.08;83.79;186.44;83.16;101.86;8.75
1948-11-01;142.95;196.41;105.41;226.88;144.39;74.02;155.99;230.71;308.9;76.82;203.44;69.65;179.12;78.43;99.44;188.75;202.33;227.9;311.03;149.58;277.77;204.18;224.93;18.92
1948-12-01;243.83;340.3;22.71;504.67;228.81;53.45;98.51;465.94;605.22;123.68;438.24;114.98;229.2;54.51;150.0;308.63;393.69;381.09;571.91;426.86;424.99;370.66;384.25;109.58
1949-01-01;309.16;353.67;111.1;232.67;362.28;127.95;181.18;216.11;262.45;277.99;306.67;238.74;252.89;158.65;288.83;307.78;384.21;253.81;288.85;148.39;373.07;337.79;313.22;35.27
1949-02-01;195.79;314.15;71.88;253.73;203.72;133.26;116.12;288.49;279.29;178.21;225.23;127.29;195.43;105.09;188.88;194.83;333.25;294.73;319.65;130.94;370.35;198.66;264.0;83.76
1949-03-01;127.27;226.61;207.66;55.89;113.44;236.59;121.89;76.28;103.69;165.83;86.39;179.89;115.98;206.85;121.34;222.67;265.61;80.16;108.96;31.63;240.01;87.39;160.56;42.53
1949-04-01;72.4;181.68;64.12;117.72;62.09;117.0;80.81;105.46;119.89;66.83;96.37;104.89;72.38;109.73;47.84;106.39;177.71;78.32;97.27;85.01;145.33;72.22;144.04;93.64
1949-05-01;29.63;89.76;67.66;58.46;24.95;57.15;105.74;57.3;30.89;32.19;39.6;43.08;52.45;61.52;35.97;32.44;90.71;33.7;75.51;15.05;45.32;20.43;57.29;38.24
1949-06-01;27.19;26.25;192.45;8.79;51.46;157.55;143.54;2.69;0.33;45.31;28.5;89.35;28.2;161.2;52.23;101.97;39.9;3.56;0.17;3.52;21.38;36.88;7.28;21.06
1949-07-01;11.9;10.79;106.24;1.45;16.14;69.07;42.03;1.78;0.26;21.44;6.14;47.95;17.76;51.94;25.32;35.68;5.69;1.76;0.0;1.63;1.46;18.44;5.79;17.68
