date;agua_vermelha;belo_monte;dona_francisca;emborcacao;furnas;ita;itaipu;itumbiara;lageado;nova_avanhandava;nova_ponte;porto_primavera;rosana;salto_caxias;santa_cecilia;santo_antonio;sao_luiz_do_tapajos;sao_simao;serra_da_mesa;sobradinho;teles_pires;tres_marias;tucurui;xingo
1980-01-01;284.59;366.55;83.08;364.73;345.89;119.0;144.85;352.07;352.71;204.82;429.47;206.51;188.96;192.33;217.95;263.67;396.46;296.28;463.43;324.46;447.17;394.77;335.77;136.89
1980-02-01;232.55;440.06;66.89;292.89;154.96;118.74;187.38;374.22;519.84;235.65;226.9;249.91;268.41;161.32;196.36;333.46;417.2;344.56;560.55;298.7;501.2;151.76;531.65;216.61
1980-03-01;98.84;256.33;165.64;53.89;87.44;142.63;114.72;60.63;107.57;91.49;83.36;126.47;111.96;125.67;133.89;210.2;266.59;71.97;80.53;25.36;242.1;55.25;161.04;47.24
1980-04-01;152.56;152.85;74.61;168.58;167.71;69.73;66.56;143.1;123.81;125.92;175.16;97.3;93.27;74.59;147.04;130.65;165.94;91.98;148.86;71.21;158.54;153.24;132.38;17.05
1980-05-01;21.48;54.98;198.34;20.7;18.67;123.3;184.83;25.55;10.0;27.36;29.11;67.63;73.41;137.12;22.93;76.72;68.12;24.03;16.92;6.01;44.48;13.84;23.89;2.79
1980-06-01;83.5;22.44;64.23;30.31;79.48;66.28;61.81;17.29;2.19;91.9;66.47;76.05;43.99;90.86;69.51;15.62;30.17;20.15;8.67;8.15;13.6;65.15;10.58;15.92
1980-07-01;0.41;5.18;148.11;0.19;1.02;168.03;66.24;0.12;0.07;10.46;1.95;66.74;5.86;165.56;13.59;18.07;7.59;0.07;0.0;0.57;0.33;1.54;2.8;9.16
1980-08-01;14.35;24.14;130.06;10.03;24.0;176.89;89.58;4.97;0.07;27.96;21.79;68.21;15.62;152.55;50.55;31.18;36.57;4.79;0.4;0.81;22.25;5.57;6.4;1.61
1980-09-01;86.79;74.79;119.01;44.01;49.84;149.33;181.47;57.55;42.86;71.83;61.83;143.05;126.31;190.99;58.91;80.52;99.69;51.17;72.56;20.36;104.15;40.56;61.53;4.9
1980-10-01;91.69;109.25;217.31;61.86;77.3;180.76;152.6;59.74;50.21;76.01;44.91;88.23;96.16;150.71;106.48;122.23;154.67;82.47;38.13;22.07;118.79;42.58;74.98;9.81
1980-11-01;222.45;242.19;209.61;262.21;224.78;123.94;130.77;239.11;318.46;159.71;237.89;102.08;154.37;103.63;185.52;182.85;263.81;190.42;292.23;181.52;320.59;212.46;250.46;48.48
1980-12-01;310.07;291.93;140.55;310.59;338.38;263.39;195.3;304.49;360.27;274.11;312.52;247.96;255.46;270.52;281.7;187.61;332.9;269.54;347.84;245.94;413.19;284.91;318.41;53.62
1981-01-01;286.37;302.36;173.54;325.98;315.26;139.63;170.68;266.5;303.09;263.08;320.26;210.55;208.83;166.34;262.27;309.56;360.25;228.85;297.61;175.98;343.41;273.13;289.51;54.92
1981-02-01;95.93;187.0;167.9;57.57;83.59;172.96;139.68;74.64;75.96;93.43;62.45;99.71;149.04;150.16;125.98;255.21;249.22;88.75;66.69;20.21;227.91;54.23;135.29;11.41
1981-03-01;163.3;279.11;55.95;230.02;198.26;64.76;95.01;256.47;313.91;117.59;236.57;69.43;161.52;84.03;193.38;219.52;328.57;262.94;343.38;320.34;382.5;214.37;336.36;283.71
1981-04-01;52.19;112.13;78.18;43.96;47.12;134.29;141.85;55.19;79.97;67.89;46.12;133.43;79.18;165.6;91.36;114.86;172.25;62.0;59.84;56.61;160.74;29.14;91.94;52.64
1981-05-01;12.67;24.23;18.82;18.71;26.06;30.74;18.55;11.69;8.97;24.02;20.78;19.46;3.27;36.01;31.54;71.22;35.65;3.97;19.64;9.34;24.22;22.83;11.39;4.31
1981-06-01;67.81;24.93;140.18;36.98;52.09;93.14;120.56;36.67;37.88;84.12;47.59;82.83;88.17;97.7;46.71;29.71;38.04;33.0;34.22;20.57;13.29;47.99;22.53;8.88
1981-07-01;1.75;9.66;33.44;5.73;3.86;58.41;13.51;8.9;1.7;17.1;0.62;23.68;1.88;32.09;37.69;1.73;5.58;4.37;8.87;1.96;2.89;0.1;5.64;5.42
1981-08-01;5.26;21.79;52.24;10.03;21.83;84.74;32.27;4.21;10.25;10.26;10.33;16.29;6.07;79.54;24.51;20.3;34.84;0.55;7.08;7.86;4.71;26.61;10.5;6.11
1981-09-01;14.44;38.3;243.03;4.48;30.79;143.59;45.09;6.96;3.22;17.24;14.73;30.51;20.99;87.26;30.14;62.86;60.38;12.27;8.41;2.72;41.47;9.83;12.09;2.61
1981-10-01;262.35;159.58;68.25;228.08;211.39;99.03;221.66;240.91;211.93;201.46;275.43;211.2;175.36;167.74;164.8;144.05;213.17;201.4;241.32;153.83;199.92;231.03;143.56;0.76
1981-11-01;188.59;278.61;154.06;323.21;239.96;124.85;123.41;293.87;306.11;169.76;238.78;134.57;171.11;168.37;183.59;183.17;291.91;258.2;295.47;217.61;393.74;352.7;250.53;17.14
1981-12-01;310.28;215.11;142.76;269.57;324.07;176.56;367.55;276.2;184.38;192.06;335.28;220.33;268.7;259.19;233.41;243.93;274.59;288.84;183.46;122.84;256.74;306.61;188.35;52.54
1982-01-01;333.03;411.21;28.67;412.78;301.18;58.43;57.84;448.1;475.83;298.57;460.21;143.22;224.7;59.26;267.03;260.9;398.19;450.07;499.37;260.2;373.35;391.29;426.51;39.25
1982-02-01;179.7;305.48;144.57;83.83;154.06;215.41;162.28;118.0;134.13;224.99;118.57;212.06;169.05;225.15;161.39;262.18;280.21;140.74;139.52;53.4;276.55;80.84;204.98;36.16
1982-03-01;331.43;302.05;71.79;395.21;325.93;111.17;129.26;338.21;229.58;240.08;389.0;124.36;329.93;83.42;284.65;200.48;320.25;321.28;260.53;178.84;308.85;339.91;267.14;62.46
